name,ring,quadrant,isNew,description
Dependency drift fitness function,Adopt,Techniques,FALSE,
Run cost as architecture fitness function,Adopt,Techniques,FALSE,
Security policy as code,Adopt,Techniques,FALSE,
Tailored service templates,Adopt,Techniques,FALSE,
Continuous delivery for machine learning (CD4ML),Trial,Techniques,FALSE,
Data mesh,Trial,Techniques,FALSE,
Declarative data pipeline definition,Trial,Techniques,FALSE,
Diagrams as code,Trial,Techniques,TRUE,
Distroless Docker images,Trial,Techniques,FALSE,
Event interception,Trial,Techniques,TRUE,
Parallel run with reconciliation,Trial,Techniques,TRUE,
"Use ""remote native"" processes and approaches",Trial,Techniques,FALSE,
Zero trust architecture,Trial,Techniques,FALSE,
Bounded low-code platforms,Assess,Techniques,TRUE,
Browser-tailored polyfills,Assess,Techniques,TRUE,
Decentralized identity,Assess,Techniques,FALSE,
Kube-managed cloud services,Assess,Techniques,TRUE,
Open Application Model (OAM),Assess,Techniques,TRUE,
Secure enclaves,Assess,Techniques,TRUE,
Switchback experimentation,Assess,Techniques,TRUE,
Verifiable credentials,Assess,Techniques,TRUE,
Apollo Federation,Hold,Techniques,TRUE,
ESBs in API Gateway's clothing,Hold,Techniques,TRUE,
Log aggregation for business analytics,Hold,Techniques,FALSE,
Micro frontend anarchy,Hold,Techniques,TRUE,
Productionizing notebooks,Hold,Techniques,FALSE,
Azure DevOps,Trial,Platforms,FALSE,
Debezium,Trial,Platforms,FALSE,
Honeycomb,Trial,Platforms,FALSE,
JupyterLab,Trial,Platforms,FALSE,
Amundsen,Assess,Platforms,TRUE,
AWS Cloud Development Kit,Assess,Platforms,FALSE,
Backstage,Assess,Platforms,TRUE,
Dremio,Assess,Platforms,TRUE,
DuckDB,Assess,Platforms,TRUE,
K3s,Assess,Platforms,TRUE,
Materialize,Assess,Platforms,TRUE,
Pulumi,Assess,Platforms,FALSE,
Tekton,Assess,Platforms,TRUE,
Trust over IP stack,Assess,Platforms,TRUE,
Node overload,Hold,Platforms,FALSE,
Airflow,Adopt,Tools,FALSE,
Bitrise,Adopt,Tools,FALSE,
Dependabot,Adopt,Tools,FALSE,
Helm,Adopt,Tools,FALSE,
Trivy,Adopt,Tools,FALSE,
Bokeh,Trial,Tools,FALSE,
Concourse,Trial,Tools,FALSE,
Dash,Trial,Tools,TRUE,
jscodeshift,Trial,Tools,TRUE,
Kustomize,Trial,Tools,TRUE,
MLflow,Trial,Tools,TRUE,
Pitest,Trial,Tools,FALSE,
Sentry,Trial,Tools,FALSE,
ShellCheck,Trial,Tools,TRUE,
Stryker,Trial,Tools,TRUE,
Terragrunt,Trial,Tools,FALSE,
tfsec,Trial,Tools,FALSE,
Yarn,Trial,Tools,FALSE,
CML,Assess,Tools,TRUE,
Eleventy,Assess,Tools,TRUE,
Flagger,Assess,Tools,TRUE,
gossm,Assess,Tools,TRUE,
Great Expectations,Assess,Tools,TRUE,
k6,Assess,Tools,TRUE,
Katran,Assess,Tools,TRUE,
Kiali,Assess,Tools,TRUE,
LGTM,Assess,Tools,TRUE,
Litmus,Assess,Tools,TRUE,
Opacus,Assess,Tools,TRUE,
OSS Index,Assess,Tools,TRUE,
Playwright,Assess,Tools,TRUE,
pnpm,Assess,Tools,TRUE,
Sensei,Assess,Tools,TRUE,
Zola,Assess,Tools,TRUE,
Arrow,Adopt,languages-and-frameworks,FALSE,
jest-when,Adopt,languages-and-frameworks,FALSE,
Fastify,Trial,languages-and-frameworks,TRUE,
Immer,Trial,languages-and-frameworks,FALSE,
Redux,Trial,languages-and-frameworks,FALSE,
Rust,Trial,languages-and-frameworks,FALSE,
single-spa,Trial,languages-and-frameworks,FALSE,
Strikt,Trial,languages-and-frameworks,TRUE,
XState,Trial,languages-and-frameworks,FALSE,
Babylon.js,Assess,languages-and-frameworks,TRUE,
Blazor,Assess,languages-and-frameworks,TRUE,
Flutter Driver,Assess,languages-and-frameworks,TRUE,
HashiCorp Sentinel,Assess,languages-and-frameworks,TRUE,
Hermes,Assess,languages-and-frameworks,TRUE,
io-ts,Assess,languages-and-frameworks,TRUE,
Kedro,Assess,languages-and-frameworks,TRUE,
LitElement,Assess,languages-and-frameworks,TRUE,
Mock Service Worker,Assess,languages-and-frameworks,TRUE,
Recoil,Assess,languages-and-frameworks,TRUE,
Snorkel,Assess,languages-and-frameworks,TRUE,
Streamlit,Assess,languages-and-frameworks,TRUE,
Svelte,Assess,languages-and-frameworks,TRUE,
SWR,Assess,languages-and-frameworks,TRUE,
Testing Library,Assess,languages-and-frameworks,TRUE,
